PD_NO,PD_EXG_MKT,PD_NM,PD_ABRV_NM,PD_ENG_NM,PD_ABRV_ENG_NM,PD_CTRY_CD,PD_PBCM,STD_PD_MCLS_NM,STD_PD_SCLS_NM,BD_KND,CURR_CD,ISU_BAL_AMT,ISU_DT,MAT_DT,SRFC_IRT,PD_EVCO_CRD_GRD,PD_RISK_GCD,PD_STD_INFO_UPDATE,BUY_YIELD,CORP_PRETAX_YIELD,CORP_AFTER_TAX_YIELD,AFTER_TAX_YIELD,PREF_TAX_YIELD,AVG_ANNUAL_TAX_YIELD,DEPO_EQUIV_YIELD_154,BUYABLE_QUANTITY,REMAINING_DAYS,DUR,COV,NDY_DUR,NDY_COV,EVAL_PRICE,APPLIED_YIELD,DIRTY,NDY_EVAL_PRICE,NDY_APPLIED_YIELD,NDY_DIRTY,CRD_GRD,CRD_GRD_DT
KR6423501F30,장외,토탈에너지2(PCBO사모/콜),토탈에너지 주식회사2                    ,Total Energy2                                                                   ,Total Energy2                           ,KR,토탈에너지(주)                      ,회사채,일반사채,일반회사채                    ,KRW,1000000000,20250327,20270327,0,,1
KR608297BDB6,장내,미래에셋캐피탈97-7,미래에셋캐피탈97-7                      ,Mirae Asset Capital97-7                                                         ,Mirae Asset Capital97-7                 ,KR,미래에셋캐피탈(주)                  ,회사채,일반사채,할부금융채                    ,KRW,20000000000,20231122,20281122,5.111,"AA-, AA-, AA-",5,20260224,,,,,,,,,1002,2.562,7.4228,2.5619,7.4112,10352.23,3.765,10352.23,10353.32,3.765,10353.32,AA-,20231122
KR6053591CB8,장외,한국테크놀로지26CB,한국테크놀로지26CB                      ,HANKOOK Technology26CB                                                          ,HANKOOK Technology26CB                  ,KR,,회사채,일반사채,,KRW,0,20221114,20251114,5,,1
KR6173291E44,장외,자유에너지9(PCBO사모/콜),자유에너지9                             ,JAYOO ENERGY9                                                                   ,JAYOO ENERGY9                           ,KR,자유에너지(주)                      ,회사채,일반사채,일반회사채                    ,KRW,1400000000,20240429,20260429,4.85,,1
KR60113V5F97,장내,한국캐피탈제팔차유동화전문1-5(콜),한국캐피탈제팔차1-5                     ,Hankook Capital 8th Securitization Specialty1-5                                 ,Hankook Capital 8th1-5                  ,KR,한국캐피탈제팔차유동화전문(유)      ,회사채,일반사채,유동화회사채                  ,KRW,15000000000,20250925,20260225,2.843,"AAA, AAA, AAA",5,20260224,,,,,,,,,1,0.0026,0.0002,0,0,10022.9,2.889,10022.9,10023.69,2.889,10023.69,AAA,20250917
KR6362391F82,장외,모팜5(PCBO사모/콜),모팜5                                   ,MOPAM5                                                                          ,MOPAM5                                  ,KR,(주)모팜                            ,회사채,일반사채,일반회사채                    ,KRW,2350000000,20250828,20270828,5.569,,1
KR60153TCG13,장내,티월드제일백일십구차유동화전문1-12,티월드제일백일십구차1-12                ,T-WORLD 119TH SECURITIZATION SPECIALTY1-12                                      ,T-WORLD 119TH SEC1-12                   ,KR,티월드제일백일십구차유동화전문(유)  ,회사채,일반사채,유동화회사채                  ,KRW,2500000000,20260123,20270123,3.037,"AAA, AAA, AAA",5,20260224,,,,,,,,,333,0.8996,0.8895,0.8976,0.8852,9992.84,3.135,9992.84,9993.77,3.135,9993.77,AAA,20260114
KR6356101D53,장외,준서예건3(PCBO사모/콜),준서예건3                               ,JUNSEOYEGEON3                                                                   ,JUNSEOYEGEON3                           ,KR,(주)준서예건                        ,회사채,일반사채,일반회사채                    ,KRW,850000000,20230530,20250530,7.967,,1
KR354421GDC5,장내,한국주택금융공사MBS2023-36(1-8)(사)(콜),주택금융공사MBS2023-36(1-8)(사)         ,Korea Housing Finance CorporationMBS2023-36(1-8)(S)                             ,KHFCMBS2023-36(1-8)(S)                  ,KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,40000000000,20231219,20431219,4.03,AAA,6,20260224,,,,,,,,,6507,9.198399999999999,103.5324,9.204499999999999,104.4486,9933.51,4.172,9933.51,9934.66,4.172,9934.66,AAA,20231219
KR356502DD12,장외,평택도시공사보상(평택호)2023-02가,평택도시공사보상(평택호)2023-02가       ,PYEONGTAEK URBAN CORPORATION(LAND)(PTLAKE)2023-02A                              ,PUC(LAND)(PTLAKE)2023-02A               ,KR,평택도시공사                        ,특수채,일반사채,지방공사보상채권              ,KRW,72000000,20230131,20260131,3.54,"AA, AA",6,20260202,,,,,,,,,0,0,0,0,0,10733.33,2.711,11100,0,0,0,AA0,20230117
