PD_NO,PD_EXG_MKT,PD_NM,PD_ABRV_NM,PD_ENG_NM,PD_ABRV_ENG_NM,PD_CTRY_CD,PD_PBCM,STD_PD_MCLS_NM,STD_PD_SCLS_NM,BD_KND,CURR_CD,ISU_BAL_AMT,ISU_DT,MAT_DT,SRFC_IRT,PD_EVCO_CRD_GRD,PD_RISK_GCD,PD_STD_INFO_UPDATE,BUY_YIELD,CORP_PRETAX_YIELD,CORP_AFTER_TAX_YIELD,AFTER_TAX_YIELD,PREF_TAX_YIELD,AVG_ANNUAL_TAX_YIELD,DEPO_EQUIV_YIELD_154,BUYABLE_QUANTITY,REMAINING_DAYS,DUR,COV,NDY_DUR,NDY_COV,EVAL_PRICE,APPLIED_YIELD,DIRTY,NDY_EVAL_PRICE,NDY_APPLIED_YIELD,NDY_DIRTY,CRD_GRD,CRD_GRD_DT
KR6321201E30,장외,엔에스유통 5(PCBO사모/콜),엔에스유통5                             ,NS CIRCULATION5                                                                 ,NS CIRCULTION5                          ,KR,(주)엔에스유통                      ,회사채,일반사채,일반회사채                    ,KRW,0,20240328,20260328,5.38,,1
KR6164281FB5,장외,아리온9(PCBO사모/콜),아리온9                                 ,ARION9                                                                          ,ARION9                                  ,KR,아리온(주)                          ,회사채,일반사채,일반회사채                    ,KRW,737280000,20251106,20271106,5.726,,1,20251106,,,,,,,,,730,,,,,10000,5.726,,,,,,20251106
KR310202AEA7,장내,산업금융채권 24신할0100-1010-1(사),산금24신할01001010-1(사)                ,THE KOREA  DEVELOPMENT BANK24DIS01001010-1(S)                                   ,KDB24DIS01001010-1(S)                   ,KR,한국산업은행                        ,특수채,특수은행채,특수은행채                    ,KRW,350000000000,20241010,20251010,3.12,"AAA, AAA, AAA",6,20251013,,,,,,,,,0,0,0,0,0,10000,2.406,10000,0,0,0,AAA,20251002
KR6495543EA3,장외,신보2024제21차유동화전문1-3(녹),신보2024제21차유동화1-3(녹)             ,Kodit 2024 the 21th Securitization Specialty1-3(G)                              ,Kodit 2024 the 21th 1-3(G)              ,KR,,회사채,일반사채,,KRW,0,20241029,20280129,3.749,"C, C",1,20260224,,,,,,,,,704,1.5841,4.044,1.5823,4.0348,3027.88,104.318,3027.88,3028.63,104.318,3028.63,C0,20241029
KR2044012B26,장내,경기지역개발채권 21-02,경기지역개발21-02                       ,KYUNGKI PROVINCIAL DEVELOPMENT21-02                                             ,KYUNGKI PROVINCIAL21-02                 ,KR,경기도                              ,국공채,지역개발,지역개발채                    ,KRW,94914835000,20210228,20260228,1.05,,6,20260224,,,,,,,,,4,0.0094,0.0046,0.0072,0.0018,10533.23,2.585,10533.23,10533.98,2.585,10533.98
KR6101531E37,장외,해태제과식품19(PCBO사모/콜),해태제과식품19                          ,HAITAI CONFECTIONERY AND FOOD19                                                 ,HAITAI CONFECTIONERY19                  ,KR,해태제과식품(주)                    ,회사채,일반사채,일반회사채                    ,KRW,40000000000,20240328,20270328,4.21,,1
KR649586LEA2,장내,카드오토제오차유동화전문1-20(콜/중),카드오토제오차유동화1-20                ,Card Auto Fifth Securitization Specialty1-20                                    ,Card Auto Fifth SEC1-20                 ,KR,카드오토제오차유동화전문(유)        ,회사채,일반사채,유동화회사채                  ,KRW,5400000000,20241029,20290527,5.2,"A, A, A",4,20260224,,,,,,,,,1188,2.042,8.155900000000001,1.9906,9.6243,10039.19,5.2,10039.19,10040.47,5.2,10040.47,A0,20241029
KR6029787DA3,장내,삼성카드 2636(녹),삼성카드2636(녹)                        ,SAMSUNG CARD2636(G)                                                             ,SAMSUNG CARD2636(G)                     ,KR,삼성카드(주)                        ,회사채,일반사채,신용카드채                    ,KRW,40000000000,20231026,20250425,4.498,"AA+, AA+, AA+",5,20250428,,,,,,,,,0,0,0,0,0,10109.67,2.679,10109.67,0,0,0,AA+,20250331
KR646507JD80,장내,퍼스트파이브지제칠십차유동화전문 1-18,퍼스트파이브지70차유1-18                ,First 5G Seventieth Securitization Specialty1-18                                ,First 5G 70th SEC1-18                   ,KR,퍼스트파이브지제칠십차유동화전문(유),회사채,일반사채,유동화회사채                  ,KRW,5000000000,20230831,20250228,4.257,"AAA, AAA, AAA",5,20250304,,,,,,,,,0,0,0,0,0,10035.47,3.033,10035.47,0,0,0,AAA,20250204
KR6494431EA2,장외,디비닉스제사십삼차1(사모/콜/강제),디비닉스제사십삼차1                     ,DBNIX NO.431                                                                    ,DBNIX NO.431                            ,KR,디비닉스제사십삼차(주)              ,회사채,일반사채,Conduit회사채                 ,KRW,0,20241007,20251104,3.8,,1
KR6030625F75,장내,롯데카드 568-1,롯데카드568-1                           ,LOTTE CARD568-1                                                                 ,LOTTE CARD568-1                         ,KR,롯데카드(주)                        ,회사채,일반사채,신용카드채                    ,KRW,80000000000,20250722,20270820,2.86,"AA-, AA-, AA-",5,20260224,,,,,,,,,542,1.4478,2.4596,1.4468,2.449,9926.25,3.551,9926.25,9927.23,3.551,9927.23,AA-,20250722
KR6019454D35,장내,아이비케이캐피탈 275-2,아이비케이캐피탈275-2                   ,IBK CAPITAL CORPORATION275-2                                                    ,IBK CAPITAL275-2                        ,KR,(주)아이비케이캐피탈                ,회사채,일반사채,할부금융채                    ,KRW,30000000000,20230315,20280315,4.248,"AA-, AA-, AA-",5,20260224,,,,,,,,,750,1.9481,4.3755,1.9474,4.3657,10234.8,3.481,10234.8,10235.79,3.481,10235.79,AA-,20230315
KR6495977EA3,장내,중진공2024제2차스케일업유동화전문1-2-2(사),중진공2024제2차1-2-2(사)                ,KOSME 2024 2nd Scale-up Securitization Specialty1-2-2(S)                        ,KOSME 2024 2nd Scale1-2-2(S)            ,KR,중진공2024제2차스케일업유동화전문(유,회사채,일반사채,유동화회사채                  ,KRW,5000000000,20241025,20261025,3.363,"AAA, AAA",5,20260224,,,,,,,,,243,0.6561,0.5871,0.6544,0.5816,10048.76,3.045,10048.76,10049.6,3.045,10049.6,AAA,20241025
KR6176941F32,장내,아이엠캐피탈128-1,아이엠캐피탈128-1                       ,iM Capital128-1                                                                 ,iM Capital128-1                         ,KR,(주)아이엠캐피탈                    ,회사채,일반사채,할부금융채                    ,KRW,70000000000,20250313,20270312,3.29,"AA-, AA-",5,20260224,,,,,,,,,381,1.0142,1.2846,1.0128,1.2784,10068.87,3.267,10068.87,10069.79,3.267,10069.79,AA-,20250313
KR356003G4C7,장내,한국장학재단 14-50,한국장학재단14-50                       ,KOSAF14-50                                                                      ,KOSAF14-50                              ,KR,한국장학재단                        ,특수채,공사채,일반특수법인채                ,KRW,60000000000,20141219,20291219,2.912,,6,20260224,,,,,,,,,1394,3.5731,14.828,3.5763,14.8058,9881.65,3.394,9881.65,9882.559999999999,3.394,9882.559999999999
KR354301GC83,장내,인천도시공사214,인천도시공사214                         ,Incheon Housing and City Development Corporation214                             ,IH214                                   ,KR,인천도시공사                        ,특수채,일반사채,일반지방공사채                ,KRW,50000000000,20220830,20250829,4.826,"AA+, AA+",6,20250901,,,,,,,,,0,0,0,0,0,10120.31,2.406,10120.31,0,0,0,AA+,20250616
KR6130061F41,장외,반도10(PCBO사모/콜),반도10                                  ,BANDO10                                                                         ,BANDO10                                 ,KR,(주)반도                            ,회사채,일반사채,일반회사채                    ,KRW,800000000,20250429,20270429,6.019,,1
KR60066R1F99,장외,레티스제이차1-1(사모),레티스제이차1-1                         ,letis 2nd1-1                                                                    ,letis 2nd1-1                            ,KR,레티스제이차(주)                    ,회사채,일반사채,Conduit회사채                 ,KRW,142000000,20250903,20260930,2.9144,"AAA, AAA",1,20250903,,,,,,,,,392,,,,,9695.910195160001,2.9144,,,,,,20250903
KR6497441EB6,장외,클래시 1CB(사모/전환),클래시1CB                               ,Claccy1CB                                                                       ,Claccy1CB                               ,KR,(주)클래시                          ,회사채,일반사채,일반회사채                    ,KRW,100000000,20241125,20271125,6,,1,20241125,,,,,,,,,1095,,,,,10000,6,,,,,,20241125
KR2006022C97,장내,부산지역개발채권 22-09,부산지역개발22-09                       ,BUSAN PROVINCIAL DEVELOPMENT22-09                                               ,BUSAN PROVINCIAL22-09                   ,KR,부산광역시                          ,국공채,지역개발,지역개발채                    ,KRW,3048035000,20220930,20270930,1.05,,6,20260224,3.04,3.1345,2.9614,2.9614,3.0277,0,3.5005,0,583,1.5642,3.814,1.5665,3.7727,10060.85,2.925,10060.85,10061.64,2.925,10061.64
KR6019805C40,장내,하나캐피탈350-5,하나캐피탈350-5                         ,HANA CAPITAL350-5                                                               ,HANA CAPITAL350-5                       ,KR,하나캐피탈(주)                      ,회사채,일반사채,할부금융채                    ,KRW,20000000000,20220412,20250411,3.719,"AA-, AA-, AA-",5,20250414,,,,,,,,,0,0,0,0,0,10090.68,2.817,10090.68,0,0,0,AA-,20250407
KR646934FDA1,장내,티월드제구십이차유동화전문1-15,티월드제구십이차유1-15                  ,T-WORLD 92ND SECURITIZATION SPECIALTY1-15                                       ,T-WORLD 92ND SEC1-15                    ,KR,티월드제구십이차유동화전문(유)      ,회사채,일반사채,유동화회사채                  ,KRW,10000000000,20231025,20250125,4.525,"AAA, AAA, AAA",5,20250131,,,,,,,,,0,0,0,0,0,10028.44,3.169,10041,0,0,0,AAA,20231025
KR356105GF26,장내,토지주택채권516,토지주택채권516                         ,KOREA LAND & HOUSING CORPORATION516                                             ,KOREA L&H516                            ,KR,한국토지주택공사                    ,특수채,공사채,일반특수법인채                ,KRW,110000000000,20250221,20300221,2.878,"AAA, AAA",6,20260224,,,,,,,,,1458,3.7557,15.468,3.7563,15.4515,9766.68,3.513,9766.68,9767.629999999999,3.513,9767.629999999999,AAA,20250221
KR381002GFC5,장내,농업금융채권(은행) 2025-12이6M-C(변동),농업금융채권(은행)2025-12이6M-C(변동)   ,NongHyup Bank2025-12COUP6M-C(FRN)                                               ,NongHyup Bank2025-12COUP6M-C(FRN)       ,KR,농협은행                            ,특수채,특수은행채,특수은행채                    ,KRW,300000000000,20251211,20260611,2.81,"AAA, AAA, AAA",6,20260224,,,,,,,,,107,0.0411,0.003,0.0396,0.003,10014.66,2.681,10014.66,10015.43,2.681,10015.43,AAA,20251211
KR350802GD35,장내,한국가스공사 439,한국가스공사439                         ,KOREA GAS439                                                                    ,KOGAS439                                ,KR,한국가스공사(주)                    ,특수채,공사채,일반특수법인채                ,KRW,120000000000,20230315,20260315,3.848,"AAA, AAA",6,20260224,,,,,,,,,19,0.0518,0.0105,0.0498,0.008200000000000001,10081.66,2.73,10081.66,10082.43,2.73,10082.43,AAA,20230315
KR6174145D74,장내,우리카드 229-5,우리카드229-5                           ,WOORI CARD229-5                                                                 ,WOORI CARD229-5                         ,KR,(주)우리카드                        ,회사채,일반사채,신용카드채                    ,KRW,10000000000,20230712,20271012,4.658,"AA, AA, AA",5,20260224,,,,,,,,,595,1.5617,2.8674,1.5608,2.8582,10265.5,3.329,10265.5,10266.44,3.329,10266.44,AA0,20230712
KR6356201D52,장외,신진엔지니어링2(PCBO사모/콜),신진엔지니어링2                         ,SHINJIN ENGINEERING2                                                            ,SHINJIN ENGINEERING2                    ,KR,(주)신진엔지니어링                  ,회사채,일반사채,일반회사채                    ,KRW,1200000000,20230530,20250530,6.217,,1
KR6402151BA3,장외,보르도코퍼레이션 1(사모/콜),보르도코퍼레이션1                       ,Bordeaux corporation1                                                           ,Bordeaux corporation1                   ,KR,(주)보르도코퍼레이션                ,회사채,일반사채,Conduit회사채                 ,KRW,0,20211005,20250705,20,,1
KR6029883F17,장내,현대캐피탈2040-3,현대캐피탈2040-3                        ,HYUNDAI CAPITAL SERVICES2040-3                                                  ,HYUNDAI CAPITAL2040-3                   ,KR,현대캐피탈(주)                      ,회사채,일반사채,할부금융채                    ,KRW,30000000000,20250115,20300115,3.182,"AA+, AA+, AA+",5,20260224,,,,,,,,,1421,3.6322,14.5639,3.633,14.5467,9851.370000000001,3.691,9851.370000000001,9852.370000000001,3.691,9852.370000000001,AA+,20250115
KR6047041C86,장외,대우건설51(PCBO사모/콜),대우건설51                              ,DAEWOO ENGINEERING & CONSTRUCTION51                                             ,DWEC51                                  ,KR,(주)대우건설                        ,회사채,일반사채,일반회사채                    ,KRW,80000000000,20220825,20250825,4.993,,1
KR6195231D41,장외,부건에스앤에스5(PCBO사모/콜),부건에스앤에스5                         ,Bugun S&S5                                                                      ,Bugun S&S5                              ,KR,(주)부건에스앤에스                  ,회사채,일반사채,일반회사채                    ,KRW,380000000,20230427,20250427,7.788,,1
KR354401JD96,장외,한국주택금융공사MBS2023-25(2-1)(사)(사모/후),주택금융공사MBS2023-25(2-1)(사)         ,Korea Housing Finance CorporationMBS2023-25(2-1)(S)                             ,KHFCMBS2023-25(2-1)(S)                  ,KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,2900000000,20230905,20540905,16.03,,1
KR356001G898,장내,한국장학재단 18-22,한국장학재단18-22                       ,KOSAF18-22                                                                      ,KOSAF18-22                              ,KR,한국장학재단                        ,특수채,공사채,일반특수법인채                ,KRW,40000000000,20180906,20280906,2.305,,6,20260224,,,,,,,,,925,2.4122,7.0936,2.4134,7.0813,9880.09,3.254,9880.09,9880.969999999999,3.254,9880.969999999999
KR351605G834,장외,중소벤처기업진흥채권599                                                                             ,중소벤처기업진흥채권599                 ,Korea SMEs and Startups Agency599                                               ,KOSME599                                ,KR,중소벤처기업진흥공단                ,특수채,공사채,일반특수법인채                ,KRW,70000000000,20180326,20330325,2.746,"AAA, AAA",6,20260224,,,,,,,,,2586,6.3578,44.5704,6.3605,44.5413,9481.32,3.654,9481.32,9482.280000000001,3.654,9482.280000000001,AAA,20180326
KR6078131C41,장외,국일제지 8CB(사모/전환/풋),국일제지8CB                             ,KUK-IL PAPER MFG8CB                                                             ,KUK-IL PAPER MFG8CB                     ,KR,국일제지(주)                        ,회사채,일반사채,일반회사채                    ,KRW,0,20220429,20270429,0,,1,20230315,,,,,,,,,1506,4.0933,8.761200000000001,4.0933,8.761200000000001,8653.51,5.212,8653.51,8656.059999999999,5.212,8656.059999999999
KR354402J399,장외,한국주택금융공사 MBS2013-32(2-1)(사모/후),주택금융공사MBS2013-32(2-1),Korea Housing Finance CorporationMBS2013-32(2-1),KHFCMBS2013-32(2-1),KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,400000000,20130927,20340927,14.59,BB,1
KR381006GFC6,장내,농업금융채권(은행) 2025-12이3M-F,농업금융채권(은행)2025-12이3M-F         ,NongHyup Bank2025-12COUP3M-F                                                    ,NongHyup Bank2025-12COUP3M-F            ,KR,농협은행                            ,특수채,특수은행채,특수은행채                    ,KRW,100000000000,20251229,20260330,2.8,"AAA, AAA, AAA",6,20260224,,,,,,,,,34,0.0929,0.0244,0.09089999999999999,0.0211,10044.86,2.74,10044.86,10045.62,2.74,10045.62,AAA,20251229
KR381007GD82,장내,농업금융채권(은행) 2023-08이3Y-G,농업금융채권(은행)2023-08이3Y-G         ,NongHyup Bank2023-08COUP3Y-G                                                    ,NongHyup Bank2023-08COUP3Y-G            ,KR,농협은행                            ,특수채,특수은행채,특수은행채                    ,KRW,160000000000,20230828,20260828,4.22,"AAA, AAA, AAA",6,20260224,,,,,,,,,185,0.4998,0.3748,0.498,0.3721,10171.82,2.816,10171.82,10172.6,2.816,10172.6,AAA,20230828
KR646507LD86,장내,퍼스트파이브지제칠십차유동화전문 1-20,퍼스트파이브지70차유1-20                ,First 5G Seventieth Securitization Specialty1-20                                ,First 5G 70th SEC1-20                   ,KR,퍼스트파이브지제칠십차유동화전문(유),회사채,일반사채,유동화회사채                  ,KRW,10000000000,20230831,20250430,4.271,"AAA, AAA, AAA",5,20250502,,,,,,,,,0,0,0,0,0,10035.59,2.77,10035.59,0,0,0,AAA,20250204
KR6489021EA8,장외,팬텍 1(단순),팬텍1                                   ,Pantech1                                                                        ,Pantech1                                ,KR,팬텍(주)                            ,회사채,일반사채,일반회사채                    ,KRW,220000000,20241024,20251024,5,,1
KR6008561B55,장외,메리츠증권 신종자본증권 3-1(사모/콜/후),메리츠증권신종자본증권 3-1              ,MERITZ SECURITIESHYBRID BOND 3-1                                                ,MERITZ SECUHYBRID BOND 3-1              ,KR,메리츠증권(주)                      ,회사채,일반사채,투자매매.중개채               ,KRW,35000000000,20210528,20510528,4.6,"A, A",1,20260224,,,,,,,,,9224,4.9041,0,4.9041,0,10249.79,4.506,10249.79,10250.6,4.506,10250.6
KR6397043C26,장외,드래곤라인제사차2-2(사모),드래곤라인제사차2-2                     ,DRAGONLINE42-2                                                                  ,DRAGONLINE42-2                          ,KR,드래곤라인제사차(주)                ,회사채,일반사채,Conduit회사채                 ,KRW,0,20220215,20280811,1.955,,5,20260224,,,,,,,,,899,2.3854,10.3987,2.3854,10.3987,9699.33,3.255,9699.33,9700.1,3.255,9700.1,AA+,20220215
KR354423G417,장내,한국주택금융공사 MBS2014-3(1-7)(콜),주택금융공사MBS2014-3(1-7)              ,Korea Housing Finance CorporationMBS2014-3(1-7)                                 ,KHFCMBS2014-3(1-7)                      ,KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,6000000000,20140123,20290123,3.89,AAA,6,20260224,,,,,,,,,1064,0.4742,0.5632,0.3982,0.4848,10080.51,3.125,10080.51,10081.38,3.125,10081.38,AAA,20140123
KR60063N1F61,장외,비비엔그루1(PCBO사모/콜),비비엔그루1                             ,VIBIEN GRU Inc.1                                                                ,VIBIEN GRU1                             ,KR,(주)비비엔그루                      ,회사채,일반사채,일반회사채                    ,KRW,3000000000,20250612,20280612,4.681,,1
KR310201J646,장내,산금채 16신이1500-0407-1INT(콜)                                                                     ,산금16신이1500-0407-1INT                ,THE KOREA  DEVELOPMENT BANK16COUP1500-0407-1INT                                 ,KDB16COUP1500-0407-1INT                 ,KR,한국산업은행                        ,특수채,특수은행채,특수은행채                    ,KRW,0,20160407,20200407,2.45,"AAA, AAA, AAA",6,20200408,,,,,,,,,0,0,0,0,0,10980,0.979,10980,0,0,0,AAA,20200323
